layer,group,pair,jaccard_mean,jaccard_std,cosine_mean,cosine_std,n_sentences
0,fr_group,cs_fr_vs_french,0.804187337306325,0.05727099831559675,0.98571472077279,0.009178977662976054,999
0,fr_group,cs_fr_vs_english,0.6265997683779613,0.03713009856282561,0.9445056167092767,0.02500973111904481,999
0,fr_group,french_vs_english,0.580553864274803,0.029869525090362087,0.915503860176266,0.02932258659610997,999
0,hi_group,cs_hi_vs_hindi,0.9123022754270989,0.0384736173156238,0.9923160221722271,0.014008038806867034,999
0,hi_group,cs_hi_vs_english,0.4777160110151345,0.021467838975450303,0.6973146393492415,0.05977666302843301,999
0,hi_group,hindi_vs_english,0.4630010815905025,0.017197945339487607,0.6590448277848618,0.06088065351272822,999
0,cross_cs,cs_fr_vs_cs_hi,0.5160854514943709,0.019342230608883383,0.7815536555943189,0.04525862324043389,999
1,fr_group,cs_fr_vs_french,0.8312768932838364,0.05160041361574389,0.9999416230080483,6.422143961841977e-05,999
1,fr_group,cs_fr_vs_english,0.7291251243275175,0.07578087764042432,0.9998740028213333,0.00011370087954990825,999
1,fr_group,french_vs_english,0.6758510359723463,0.0797397455991638,0.9997679163385798,0.00020289731838715706,999
1,hi_group,cs_hi_vs_hindi,0.8611527943695035,0.05087249232284383,0.9998708923419078,0.00014674268528313866,999
1,hi_group,cs_hi_vs_english,0.5191010852447978,0.06245759544170605,0.9984338671953471,0.0008233688289637206,999
1,hi_group,hindi_vs_english,0.49526563221202546,0.05171352405720972,0.9980571046247855,0.0007994946612036865,999
1,cross_cs,cs_fr_vs_cs_hi,0.5590744654309173,0.05180051646394556,0.998705944320461,0.0006740382515288414,999
2,fr_group,cs_fr_vs_french,0.7593791947859333,0.06316830969824527,0.9366758540943936,0.04122433994484175,999
2,fr_group,cs_fr_vs_english,0.5195861902340096,0.04198909385683431,0.7190891825878346,0.07652723358934234,999
2,fr_group,french_vs_english,0.4814543237046921,0.03586618915904514,0.6412317167531263,0.07613537161239038,999
2,hi_group,cs_hi_vs_hindi,0.9031296119386378,0.04212338217534662,0.9898607736235266,0.013642303872328178,999
2,hi_group,cs_hi_vs_english,0.40482594277051703,0.015667447094484834,0.4780005517008307,0.05092033207923963,999
2,hi_group,hindi_vs_english,0.39759601675253964,0.01356747460389017,0.45457960329614244,0.0489325588234747,999
2,cross_cs,cs_fr_vs_cs_hi,0.4442844580571038,0.014567768287620741,0.6009131798574755,0.041338002947658804,999
3,fr_group,cs_fr_vs_french,0.7339403409905151,0.06264334829467276,0.9121183349086238,0.05563827875793093,999
3,fr_group,cs_fr_vs_english,0.5426244551709503,0.04060837958455067,0.695070145724414,0.08453632780808092,999
3,fr_group,french_vs_english,0.5033961722700814,0.03618785766680861,0.6296935453787222,0.09201030186947788,999
3,hi_group,cs_hi_vs_hindi,0.8752844870351414,0.04803821750962779,0.9784833280531852,0.02412484771039837,999
3,hi_group,cs_hi_vs_english,0.37999457261772085,0.017804704650331606,0.3232988562058281,0.06776629703642757,999
3,hi_group,hindi_vs_english,0.37138539502452206,0.016877963973129153,0.293547224242229,0.06566824446018837,999
3,cross_cs,cs_fr_vs_cs_hi,0.4167812309215111,0.016214312016739257,0.4424509501701838,0.0580456502604473,999
4,fr_group,cs_fr_vs_french,0.7437271117212975,0.055329569514926034,0.9083492288718352,0.047996503438533795,999
4,fr_group,cs_fr_vs_english,0.5582095009248006,0.04093866326344164,0.6847960790833673,0.07512041010255575,999
4,fr_group,french_vs_english,0.5321344617298029,0.042208670320587706,0.637538897293108,0.08328042576594917,999
4,hi_group,cs_hi_vs_hindi,0.8512766635476248,0.054507360662088375,0.9729562059895054,0.02645766542328005,999
