layer,cs_condition,baseline,pair,jaccard_mean,jaccard_std,cosine_mean,cosine_std,n_sentences
0,cs_hi,english,EN_in_cs_hi_vs_english,0.5283636377537745,0.07372622305819114,0.7841693113993358,0.11007840118083374,999
0,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.37969727376271123,0.015269441115467191,0.4553025229885294,0.10432863182131373,999
0,cs_fr,english,EN_in_cs_fr_vs_english,0.5855967898264973,0.07647157466515118,0.8658858057972905,0.06728400426123177,999
0,cs_fr,french,EN_in_cs_fr_vs_french,0.4336957762029944,0.026979675805709216,0.66435634767687,0.08128678584132974,999
1,cs_hi,english,EN_in_cs_hi_vs_english,0.4847926119440905,0.0590958122206802,0.5498331849341158,0.13900681154260244,999
1,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.3713676466017554,0.013145924667362441,0.3546051070228353,0.08046643597230428,999
1,cs_fr,english,EN_in_cs_fr_vs_english,0.5253936067566571,0.06090654306659584,0.6520468313414771,0.11750327173464452,999
1,cs_fr,french,EN_in_cs_fr_vs_french,0.4256334564033996,0.028582560680242144,0.49976375112841437,0.09171268698137042,999
2,cs_hi,english,EN_in_cs_hi_vs_english,0.507712166780732,0.06962319912431199,0.5368751473762132,0.16843525723913624,999
2,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.4603304091353501,0.041538783718884975,0.47883896772060786,0.13365581694383996,999
2,cs_fr,english,EN_in_cs_fr_vs_english,0.5643819402106879,0.06717069450492733,0.6712314714346681,0.13326299864901472,999
2,cs_fr,french,EN_in_cs_fr_vs_french,0.5300274976101328,0.04262442010881495,0.6495977948364746,0.10124502220084394,999
3,cs_hi,english,EN_in_cs_hi_vs_english,0.4858355724845465,0.06363091346511557,0.5254614878076691,0.17325752720006998,999
3,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.44831883486915114,0.035804879071178866,0.4678704216927141,0.13497596181708538,999
3,cs_fr,english,EN_in_cs_fr_vs_english,0.5508054031786811,0.06138876456510409,0.6861761523144053,0.12312678283578814,999
3,cs_fr,french,EN_in_cs_fr_vs_french,0.5204528636053644,0.041214361580651296,0.6606898705164591,0.105037570912235,999
4,cs_hi,english,EN_in_cs_hi_vs_english,0.4583160216240826,0.05451665033253584,0.46956049940279415,0.13807358397347524,999
4,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.4431314937420278,0.03234247872493245,0.466379594568674,0.10161959155542105,999
4,cs_fr,english,EN_in_cs_fr_vs_english,0.5307991716006012,0.055104476765903763,0.6491255551069468,0.10736053056092544,999
4,cs_fr,french,EN_in_cs_fr_vs_french,0.5160037339521505,0.041480572967493946,0.634305953360475,0.10687117669799476,999
5,cs_hi,english,EN_in_cs_hi_vs_english,0.45177270544868053,0.057201265405006564,0.4319841926943071,0.21790051824579515,999
5,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.4414880850221342,0.037413648510987996,0.41581316734588397,0.19630751367044982,999
5,cs_fr,english,EN_in_cs_fr_vs_english,0.5318858725396621,0.056090501210950786,0.6574964302930388,0.1297498187113127,999
5,cs_fr,french,EN_in_cs_fr_vs_french,0.529412061218163,0.04135036370417357,0.6635924356395716,0.11982713235110536,999
6,cs_hi,english,EN_in_cs_hi_vs_english,0.4808130172070617,0.058245179189142765,0.5939764362877352,0.1805182819591845,999
6,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.48736716583991635,0.04814260363785444,0.605803858307125,0.1815387770479295,999
