layer,group,pair,jaccard_mean,jaccard_std,cosine_mean,cosine_std,n_sentences
0,fr_group,cs_fr_vs_french,0.7399923282145625,0.07206260278078601,0.9760197793041263,0.014554827680424426,999
0,fr_group,cs_fr_vs_english,0.5393951988397578,0.043057526644030245,0.9166498484315576,0.02598943121240126,999
0,fr_group,french_vs_english,0.4800799353946428,0.027427033161825463,0.8792211149667237,0.023330029910710336,999
0,hi_group,cs_hi_vs_hindi,0.8619354974422951,0.05692439098510756,0.9846697716383604,0.018833208531521574,999
0,hi_group,cs_hi_vs_english,0.41577931287388853,0.02083647334605712,0.659773711148683,0.059120480143130795,999
0,hi_group,hindi_vs_english,0.39653983594654774,0.01330665426272001,0.6044244482829884,0.05090884740178571,999
0,cross_cs,cs_fr_vs_cs_hi,0.43034547739941115,0.01753005151813541,0.7277486237200411,0.04605281885037107,999
1,fr_group,cs_fr_vs_french,0.7389054698851578,0.05812726492006133,0.999771885387413,0.00028796040874443996,999
1,fr_group,cs_fr_vs_english,0.5745398590693903,0.05614889538276565,0.9995133297460096,0.0004850573698141147,999
1,fr_group,french_vs_english,0.522919911336647,0.043307624583672946,0.9991568554271091,0.0007027452875875348,999
1,hi_group,cs_hi_vs_hindi,0.8029258742213122,0.07099876256945205,0.9995202999692541,0.0007560715222067322,999
1,hi_group,cs_hi_vs_english,0.4541199326333344,0.043600237123629634,0.9977948855948042,0.0018711377597529387,999
1,hi_group,hindi_vs_english,0.42593080718507437,0.03938413198172121,0.9964678754677644,0.002613323257366748,999
1,cross_cs,cs_fr_vs_cs_hi,0.4815514335208584,0.03555444294866521,0.9982669283081222,0.001416766837003078,999
2,fr_group,cs_fr_vs_french,0.7611710870816434,0.058001174024836,0.935045297857042,0.04054383089628892,999
2,fr_group,cs_fr_vs_english,0.597260039745509,0.04049998902641933,0.8081316132922549,0.06084328520110055,999
2,fr_group,french_vs_english,0.5599407507673396,0.0343677037007782,0.7523994500691945,0.06190789858627639,999
2,hi_group,cs_hi_vs_hindi,0.8324190327762967,0.05738736613444219,0.9681690020842834,0.02734902119818813,999
2,hi_group,cs_hi_vs_english,0.4870559034378411,0.02865701518016447,0.6437417671785459,0.06744786883980879,999
2,hi_group,hindi_vs_english,0.467472084965571,0.022276114166818295,0.5971474231363417,0.0561197980653692,999
2,cross_cs,cs_fr_vs_cs_hi,0.535434484049723,0.030938582722846265,0.7329731913837226,0.0643700596794813,999
3,fr_group,cs_fr_vs_french,0.7606646681230983,0.05293867757799477,0.9223431389969032,0.04372682254155409,999
3,fr_group,cs_fr_vs_english,0.5931263636774994,0.04114178481966668,0.7546608388960898,0.07234115958546353,999
3,fr_group,french_vs_english,0.5662803074719406,0.03642080237373356,0.714586615562439,0.07395235554914906,999
3,hi_group,cs_hi_vs_hindi,0.8285898602195859,0.05814522313202627,0.9579031020552069,0.03505650734649012,999
3,hi_group,cs_hi_vs_english,0.4714953240424414,0.025847440980649755,0.5429087276453967,0.07457103612857802,999
3,hi_group,hindi_vs_english,0.45390386494437773,0.020201199247560885,0.4999547112990428,0.06345304976899184,999
3,cross_cs,cs_fr_vs_cs_hi,0.5086728735628114,0.02796799200738384,0.6206392406432836,0.0720558495270828,999
4,fr_group,cs_fr_vs_french,0.7624528052977876,0.05316817762309024,0.9081835477679103,0.046492627449871496,999
4,fr_group,cs_fr_vs_english,0.6155802240021372,0.042790174708516884,0.7390251702613181,0.07112737469520757,999
4,fr_group,french_vs_english,0.5919929473905097,0.03796242660236382,0.7021344428186541,0.06593192614247471,999
4,hi_group,cs_hi_vs_hindi,0.815221877124024,0.05940719107345405,0.9442270006742086,0.04227390615590501,999
4,hi_group,cs_hi_vs_english,0.486670939872374,0.026780807785187613,0.4804430773725977,0.07322511021512774,999
4,hi_group,hindi_vs_english,0.4701250924910617,0.022134571456076158,0.4439499473070597,0.062012762590251604,999
4,cross_cs,cs_fr_vs_cs_hi,0.5282654139496956,0.03154258168376292,0.5811219968356647,0.07680231627900605,999
5,fr_group,cs_fr_vs_french,0.7711483947617832,0.05110186828407644,0.9174996371025795,0.04257838785556088,999
5,fr_group,cs_fr_vs_english,0.6408987971570511,0.04182610764649806,0.7812441076124991,0.06116377711831257,999
5,fr_group,french_vs_english,0.6259936883267746,0.03872568770987751,0.7594960977484634,0.05935867968560605,999
5,hi_group,cs_hi_vs_hindi,0.8218541081667177,0.0556260521379438,0.9482028711068857,0.03838728376376092,999
5,hi_group,cs_hi_vs_english,0.505200754702104,0.026256630767230234,0.536578801957456,0.060948372749265026,999
5,hi_group,hindi_vs_english,0.49256688875961563,0.022961401428637545,0.506323093438411,0.05398155756510595,999
5,cross_cs,cs_fr_vs_cs_hi,0.5475637580585981,0.030474933913616355,0.6211822316035613,0.06325992634004393,999
6,fr_group,cs_fr_vs_french,0.7799296123411932,0.04960210350472755,0.9255544858890491,0.03925466387529439,999
